"choice";"2012";"Scenario I";"Scenario II";"Scenario III";"Scenario IV";"Model validation"
"1";"VIOTB";355;816.549247577819;1189.11;1203.64242424242;912.748459595959;595.04972972973
"2";"VIIOTB";0;482.351541218638;0;0;519.308024456746;0
"3";"VIIIabdOTB";1384;864.218299120235;0;0;62.6153846153846;1451.71142857143
"4";"VIIIabdPTB";1599;750.885433931147;282;280.4;600.257778819119;737.748684324794
